airport,n_truth,n_predicted_here,n_correct,n_assigned,role,recall,count_ratio
ENBO,133,125,124,216,arrivals,0.9323308270676691,1.6240601503759398
LIBR,130,1,0,0,departures,0.0,0.0
LRCL,130,99,97,98,departures,0.7461538461538462,0.7538461538461538
LRCL,129,58,15,18,arrivals,0.11627906976744186,0.13953488372093023
LTDB,129,6,1,2,arrivals,0.007751937984496124,0.015503875968992248
LGZA,126,126,126,130,departures,1.0,1.0317460317460319
LGZA,126,116,116,117,arrivals,0.9206349206349206,0.9285714285714286
EBLG,126,73,72,72,arrivals,0.5714285714285714,0.5714285714285714
LIBR,125,0,0,0,arrivals,0.0,0.0
EGAC,123,122,121,122,departures,0.983739837398374,0.991869918699187
EGAC,123,120,120,122,arrivals,0.975609756097561,0.991869918699187
BKPR,120,0,0,0,departures,0.0,0.0
EICK,120,107,106,106,arrivals,0.8833333333333333,0.8833333333333333
BKPR,120,6,0,1,arrivals,0.0,0.008333333333333333
EICK,119,118,118,118,departures,0.9915966386554622,0.9915966386554622
LDZD,118,99,70,82,arrivals,0.5932203389830508,0.6949152542372882
OJAI,116,57,57,61,departures,0.49137931034482757,0.5258620689655172
OJAI,116,73,5,8,arrivals,0.04310344827586207,0.06896551724137931
LDZD,114,66,60,60,departures,0.5263157894736842,0.5263157894736842
LICA,112,4,2,2,arrivals,0.017857142857142856,0.017857142857142856
EGLF,110,110,110,112,departures,1.0,1.018181818181818
LICA,108,2,2,3,departures,0.018518518518518517,0.027777777777777776
EGJJ,108,105,105,106,arrivals,0.9722222222222222,0.9814814814814815
EGLF,108,101,100,102,arrivals,0.9259259259259259,0.9444444444444444
LCPH,107,101,101,101,arrivals,0.9439252336448598,0.9439252336448598
LWSK,106,13,10,10,departures,0.09433962264150944,0.09433962264150944
OKKK,106,105,105,105,departures,0.9905660377358491,0.9905660377358491
LEST,106,77,77,77,arrivals,0.7264150943396226,0.7264150943396226
LCPH,105,102,102,102,departures,0.9714285714285714,0.9714285714285714
LGMK,105,92,89,112,departures,0.8476190476190476,1.0666666666666667
LEST,105,96,96,96,departures,0.9142857142857143,0.9142857142857143
LZIB,105,101,101,101,departures,0.9619047619047619,0.9619047619047619
LEGE,105,103,96,97,arrivals,0.9142857142857143,0.9238095238095239
LWSK,105,26,18,21,arrivals,0.17142857142857143,0.2
LZIB,105,92,91,91,arrivals,0.8666666666666667,0.8666666666666667
LEGE,104,104,104,108,departures,1.0,1.0384615384615385
EDJA,104,93,92,92,arrivals,0.8846153846153846,0.8846153846153846
LGMK,104,83,81,169,arrivals,0.7788461538461539,1.625
EDJA,102,100,100,100,departures,0.9803921568627451,0.9803921568627451
OKKK,102,14,11,13,arrivals,0.10784313725490197,0.12745098039215685
EGJJ,101,98,97,97,departures,0.9603960396039604,0.9603960396039604
EHRD,100,94,92,94,arrivals,0.92,0.94
EHRD,99,98,96,97,departures,0.9696969696969697,0.9797979797979798
LBBG,97,93,90,90,arrivals,0.9278350515463918,0.9278350515463918
LOWS,96,95,95,98,departures,0.9895833333333334,1.0208333333333333
LOWS,95,85,83,85,arrivals,0.8736842105263158,0.8947368421052632
LJLJ,94,86,86,87,arrivals,0.9148936170212766,0.925531914893617
DTTJ,94,1,0,0,arrivals,0.0,0.0
LQSA,93,74,72,72,departures,0.7741935483870968,0.7741935483870968
LBBG,93,91,91,92,departures,0.978494623655914,0.989247311827957
LQSA,93,68,63,74,arrivals,0.6774193548387096,0.7956989247311828
GMAD,92,8,0,0,departures,0.0,0.0
EGKB,92,90,81,82,departures,0.8804347826086957,0.8913043478260869
EINN,91,91,91,92,departures,1.0,1.010989010989011
GMAD,91,16,5,5,arrivals,0.054945054945054944,0.054945054945054944
EGKB,91,88,80,83,arrivals,0.8791208791208791,0.9120879120879121
LJLJ,90,87,87,88,departures,0.9666666666666667,0.9777777777777777
UUDD,89,12,7,10,departures,0.07865168539325842,0.11235955056179775
DTTJ,89,3,3,3,departures,0.033707865168539325,0.033707865168539325
EDDW,88,88,87,90,departures,0.9886363636363636,1.0227272727272727
GMTT,88,88,88,88,departures,1.0,1.0
EDLW,87,85,85,85,departures,0.9770114942528736,0.9770114942528736
EDLW,87,77,75,75,arrivals,0.8620689655172413,0.8620689655172413
EDDW,87,83,82,84,arrivals,0.9425287356321839,0.9655172413793104
GMTT,87,85,85,86,arrivals,0.9770114942528736,0.9885057471264368
LIMJ,86,83,82,82,arrivals,0.9534883720930233,0.9534883720930233
EINN,86,64,64,65,arrivals,0.7441860465116279,0.7558139534883721
EGHI,86,52,52,52,arrivals,0.6046511627906976,0.6046511627906976
LIPH,85,85,85,85,departures,1.0,1.0
GCLA,85,75,49,50,departures,0.5764705882352941,0.5882352941176471
LIPH,85,76,76,76,arrivals,0.8941176470588236,0.8941176470588236
EDSB,85,75,74,74,arrivals,0.8705882352941177,0.8705882352941177
LFKB,84,83,83,83,departures,0.9880952380952381,0.9880952380952381
LFKB,84,83,83,83,arrivals,0.9880952380952381,0.9880952380952381
GCLA,84,73,56,62,arrivals,0.6666666666666666,0.7380952380952381
EGJB,83,82,82,83,departures,0.9879518072289156,1.0
EGHI,83,72,70,70,departures,0.8433734939759037,0.8433734939759037
LYTV,83,4,0,0,arrivals,0.0,0.0
LYTV,82,3,0,0,departures,0.0,0.0
EDSB,81,76,76,78,departures,0.9382716049382716,0.9629629629629629
EGNS,81,73,73,74,arrivals,0.9012345679012346,0.9135802469135802
DTMB,81,4,2,3,arrivals,0.024691358024691357,0.037037037037037035
EGNS,80,74,74,75,departures,0.925,0.9375
LFKJ,80,80,80,80,arrivals,1.0,1.0
LIMJ,79,79,78,78,departures,0.9873417721518988,0.9873417721518988
DTMB,79,1,1,1,departures,0.012658227848101266,0.012658227848101266
LFKJ,78,78,78,78,departures,1.0,1.0
EDFH,77,73,73,73,departures,0.948051948051948,0.948051948051948
LYPG,77,2,0,0,departures,0.0,0.0
LYPG,77,5,0,2,arrivals,0.0,0.025974025974025976
EKYT,75,74,73,73,departures,0.9733333333333334,0.9733333333333334
