AIRPORT;APT_ICAO;PHASE;YEAR;MONTH_NUM;PUNCT_CAT;NB_FLT;MONTHLY_TRAFIC
LFBD;LFBD;ARR;2023;9;[+31, +60];NA;NA
LYBE;LYBE;ARR;2026;4;[>+61];NA;NA
EGNX;EGNX;ARR;2021;9;[+31, +60];NA;NA
LTBA;LTBA;DEP;2022;3;[-16, -30];NA;NA
LGIR;LGIR;ARR;2019;8;[-16, -30];NA;NA
LIEO;LIEO;ARR;2020;1;[- 4, + 4];NA;NA
EPGD;EPGD;DEP;2019;4;[+16, +30];NA;NA
ENBO;ENBO;DEP;2021;12;[- 5, -15];NA;NA
LIBD;LIBD;DEP;2021;1;[+ 5, +15];NA;NA
LBWN;LBWN;DEP;2026;1;[- 4, + 4];NA;NA
ENTC;ENTC;DEP;2025;9;[- 4, + 4];NA;NA
LATI;LATI;DEP;2022;11;[+31, +60];NA;NA
LQSA;LQSA;ARR;2020;8;[>+61];NA;NA
LTAC;LTAC;ARR;2026;5;[- 5, -15];NA;NA
LFBD;LFBD;DEP;2025;7;[+16, +30];NA;NA
ENVA;ENVA;DEP;2019;9;[+16, +30];NA;NA
LATI;LATI;DEP;2019;9;[- 4, + 4];NA;NA
EPGD;EPGD;DEP;2023;9;[+31, +60];NA;NA
LTBJ;LTBJ;ARR;2024;5;[-16, -30];NA;NA
LUKK;LUKK;ARR;2021;10;[- 4, + 4];NA;NA
EGAA;EGAA;DEP;2023;7;[- 5, -15];NA;NA
